relative_path,bytes,sha256
00_README/PRE_RUN_AUDIT.md,205,1464735bc3d4a5a5fac36795bb822c9bb74195a24097c786f7b0a6c4d6423799
00_README/README.md,167,6295413f22c4dc98baf1b9c9cb3f0ed3ffb5bab2f90774ae8512e92f772dd6b1
01_CONFIG/CAMPAIGN_CONFIG.json,1208,b32b026df19044ee3cf7df3e588f180746396bee7e96bfba1a4eac83cfddf11f
01_CONFIG/ENVIRONMENT.json,6928,8bb3902bc9e4c26ba6b0d63064adcc0b7be44a09f29029769be21b2bd09cb0f4
01_CONFIG/HYPERPARAMETER_SPACES.json,1133,5b16ac06907cc678a37dd1317b81039150251ca5c1cbbb760659925fdaafa072
01_CONFIG/MODEL_DEFINITIONS.json,1028,6ac92b14bf1691cdbe639f4e28896abbd016dcaa9030c5a3062e7b60c0019cf3
01_CONFIG/QUANTUM_FEATURE_MAPS.json,649,dda6849b7125d63c59ab2125bb67e82bf3454c2b62e62f9b1ea44c92fccaf7e8
02_DATA_AUDIT/DATASET_COUNTS.csv,110,6dd8bac03a17907b1eb8ec3347ce1d34c69e1888ae2dce8d86e04ffdec677562
02_DATA_AUDIT/INPUT_HASHES.csv,680,4bef462976729696a37406ef952fde4828b5198df2cfcda90261ba1a541610e3
02_DATA_AUDIT/SPLIT_INTEGRITY_AUDIT.csv,331,ebba91ae47ea970fcc5b159bac4140246c628d0d6cad46ff0fc2dc12748bb945
03_NESTED_CV/NESTED_FOLD_METRICS.csv,6242,bdbd3cac95083bb470529b3ce873ab11d78911a10dacd84a1e246bb94147649c
03_NESTED_CV/NESTED_OUTER_OOF_PREDICTIONS.csv,563988,5cab5093a88dd18a83d9058d444e98445c2640d68f14fc62ceda9c5842d27868
03_NESTED_CV/NESTED_SUMMARY.csv,1528,dfc4734f509ad123f71263dc06d7a35ebf6096b7ae1f2c2926af902eef44f319
03_NESTED_CV/SELECTED_PARAMS_PER_OUTER_FOLD.csv,5189,46f71a2fa769a2150f8af0197d2bdb10857c1626ec37c008812129669c28bbde
04_FINAL_SELECTION/DEVELOPMENT_FREEZE_MANIFEST.json,2770,69c7555703d6ec219a3fafa793af0fb0e428e1bc2e0e3a8bbd43910d4d9c6e82
04_FINAL_SELECTION/FINAL_MODEL_SELECTIONS.json,3649,3a4933dbcc43613bdf26ae5c0e180b6e4e024b3946da86db165a79c939a60d85
04_FINAL_SELECTION/FINAL_THRESHOLDS.csv,440,94080d586396d5c7facbfd986630315ea057213187943b7f03146c8f6ec01d13
04_FINAL_SELECTION/model_artifacts/logistic.pkl,1464,ad5f68e2a7db9fe4276d7b095a33b2a5be67945719718e8433cf0ccd4f7ea2f8
04_FINAL_SELECTION/model_artifacts/mlp.pkl,30589,55c738f95049d476870100bc789983f07771c3a5449efb930bf19fe8fa116fad
04_FINAL_SELECTION/model_artifacts/quantum_angle_product.pkl,68438,85adc576bb0d8ca9596b2a79d92ae258f7eae4c08326097887795ed1aaaf0bc5
04_FINAL_SELECTION/model_artifacts/quantum_iqp_zz_linear.pkl,68550,856ea502ca4652079d205d22ba827dc071f8a9e3125124131bc3e14f3bd0fe08
04_FINAL_SELECTION/model_artifacts/random_forest.pkl,3719475,4f538e8ec6311ab4733ab5f40cebb5d6c71364a58f96bf7f92232af39dfcf16a
04_FINAL_SELECTION/model_artifacts/rbf_matched.pkl,68244,8ae3d597419c8db053dcf68200737522d8c6ad191cce9afa76c3f1df7c651852
05_HOLDOUT/HOLDOUT_METRICS.csv,1074,86692ae342ec5fb7e67fa0996388ebe4afb4db0c801528d40be3af95bf608c6a
05_HOLDOUT/HOLDOUT_PREDICTIONS.csv,161832,e6fe99533f922aeca6bcdf8c17e37d0408d8a99465b8a524ee654eed04e4152f
06_EXTERNAL_CR8/AD_THRESHOLDS.json,110,a05de32bca892b7b80be2dff36d97f61e42c09b254be49b27f58fe5f6ad0f9cc
06_EXTERNAL_CR8/CR8_DUAL_AD.csv,972,59da4ff4f57ddd09cb9d482d15410751a63aad6a14eaae38e99ef95ae3d19162
06_EXTERNAL_CR8/CR8_METRICS.csv,561,7f2f0f75cab7b64862d8186d77ddd2050356b504c1b287338b182c390468df9c
06_EXTERNAL_CR8/CR8_PREDICTIONS.csv,4810,87c2cc685b2c7ed300c0618a8c1fed406ee6c1c89429ae19f7628abbd0eb2409
06_EXTERNAL_CR8/CR8_TOP10_TANIMOTO_NEIGHBORS.csv,14067,2d4e1025f2242feb40ce803e684e687fcce78a004e72d6b65e8f6aed649f2885
07_STATISTICS/PAIRED_CLUSTER_BOOTSTRAP.csv,1637,6f3ca33145443dc4d5482b5297a8575f92c222dd9cfee20e02c0c1a124a7c637
07_STATISTICS/Y_RANDOMIZATION_RAW.csv,68936,0ea9f446ce5c3cc6df65774a3c3fd5a2e62d63d5c1ffacd2b6a0a82a8e7eaf49
07_STATISTICS/Y_RANDOMIZATION_RESULTS.csv,962,6a72bfa11019122c0783ae16cc750f5568a3509f765ee2ce771d2dc523cc9483
08_QUANTUM_QC/QUANTUM_KERNEL_QC.csv,40168,2f5293091d8cb2d0f9aedb43e5d54c619eedee5ae7f1a5567e30e3f3afff477a
08_QUANTUM_QC/REFERENCE_IMPLEMENTATION_CHECK.csv,355,4cfa5528109531d27c8e8515d07c265990cbc504d27c4d11eb47311f64b4615c
09_FIGURES/FIG01_NESTED_AUROC.png,80374,00fbb4883ebdde6253033256a70e49bc1793076f437e5128ed835a1d75774027
09_FIGURES/FIG01_NESTED_AUROC.svg,46110,b1befc66bd05bc02b05a043f8ba1904d33329487f7b78970e23c4a8017f9277d
09_FIGURES/FIG02_NESTED_AUPRC.png,81388,b431d16763a8f376450340b8597fa854fb6de9cedc0a81323264063da7be5af5
09_FIGURES/FIG02_NESTED_AUPRC.svg,47280,e743190840812d0873cbb3bdd106df34da4f7efae301366d60e13c6fbbf9344b
09_FIGURES/FIG03_Y_RANDOMIZATION.png,138902,d435519d43425ddae8779361629a679d5aef74b740a66f1c46fd4ebf9f5e3f41
09_FIGURES/FIG03_Y_RANDOMIZATION.svg,73162,16caba9a114e3bae185f8e8ec8f09a9a11f0869fa92cdbaf4033fe6baf9c3757
09_FIGURES/FIG04_DUAL_AD_CR8.png,81052,79db834b0dc9ccbef02b9cff554846f7971360c56754b430482220828dd59362
09_FIGURES/FIG04_DUAL_AD_CR8.svg,34940,6c2fe94b84c7eb67aaddb79ef9242636fe6a2ba5739d71f4f58b8464f8e2b427
09_FIGURES/FIG05_CR8_SCORE_MARGIN.png,132603,550c892a8d08f2b12c486493d9238113c3f2ed05aa16e087bf9411bac85ef299
09_FIGURES/FIG05_CR8_SCORE_MARGIN.svg,46543,55217355d65816092049c701a179173d536a09788b8e4382ff3e5956c4bd4f73
09_FIGURES/FIG06_ETHIPROLE_NEIGHBORS.png,68151,5aaf3b65c8dc6a1043347547565b672ead0df64e2218d25676bfd3bad6d0f919
09_FIGURES/FIG06_ETHIPROLE_NEIGHBORS.svg,83996,e770cf85d5cfd8fb114337acdb5d508f53ccbe984459a569fe27a3fa117dd9df
09_FIGURES/FIG07_ISOCYCLOSERAM_NEIGHBORS.png,58820,eae0534b5c860b19f907da8784e38c9b396c0bab7865fc20b6fe9dd8630c8388
09_FIGURES/FIG07_ISOCYCLOSERAM_NEIGHBORS.svg,96719,2c00c81e2f1e4904bf8045ca07571c420cf0172402818b847c6e9c11ad8aec13
10_MANIFEST/SOURCE_CODE_PROVENANCE.json,809,3a84ff3c58d7d10b29126e04c70c5a396288a0e93e28696c06afbf13b8562c7c
BEEQ_FINAL_CAMPAIGN_SUMMARY.md,9201,13234bd99e7c708ec0ec73e822de5958bd307f5ae9409401b0b76bfd18131f2e
